1,Crystal (Arcane Focus),1,Angola
1,Crystal (Arcane Focus),2,Angola
1,Crystal (Arcane Focus),3,Angola
3,Flail,1,Argentina
3,Plate,1,Argentina
2,Orb (Arcane Focus),1,Argentina
2,Chain Mail,1,Argentina
2,Splint,1,Argentina
3,Flail,2,Argentina
3,Plate,2,Argentina
2,Orb (Arcane Focus),2,Argentina
2,Chain Mail,2,Argentina
2,Splint,2,Argentina
3,Flail,3,Argentina
3,Plate,3,Argentina
2,Orb (Arcane Focus),3,Argentina
2,Chain Mail,3,Argentina
2,Splint,3,Argentina
1,Ball Bearings (100),1,Australia
1,Sledgehammer,1,Australia
1,Glass Bottle,1,Australia
1,Holy Water (Flask),1,Australia
1,Ball Bearings (100),2,Australia
1,Sledgehammer,2,Australia
1,Glass Bottle,2,Australia
1,Holy Water (Flask),2,Australia
1,Ball Bearings (100),3,Australia
1,Sledgehammer,3,Australia
1,Glass Bottle,3,Australia
1,Holy Water (Flask),3,Australia
1,Light Crossbow,1,Austria
1,Crowbar,1,Austria
1,Ink Pen,1,Austria
1,Light Crossbow,2,Austria
1,Crowbar,2,Austria
1,Ink Pen,2,Austria
1,Light Crossbow,3,Austria
1,Crowbar,3,Austria
1,Ink Pen,3,Austria
3,Half Plate,1,Bangladesh
3,Leather,1,Bangladesh
3,Maul,1,Bangladesh
3,Wooden Staff (Druidic Focus),1,Bangladesh
2,Trident,1,Bangladesh
3,Half Plate,2,Bangladesh
3,Leather,2,Bangladesh
3,Maul,2,Bangladesh
3,Wooden Staff (Druidic Focus),2,Bangladesh
2,Trident,2,Bangladesh
3,Half Plate,3,Bangladesh
3,Leather,3,Bangladesh
3,Maul,3,Bangladesh
3,Wooden Staff (Druidic Focus),3,Bangladesh
2,Trident,3,Bangladesh
1,Antitoxin (vial),1,Bolivia
1,Totem (Druidic Focus),1,Bolivia
1,Padded,1,Bolivia
1,Bucket,1,Bolivia
1,Glaive,1,Bolivia
1,Antitoxin (vial),2,Bolivia
1,Totem (Druidic Focus),2,Bolivia
1,Padded,2,Bolivia
