37.0,Weapons,Angola
321.0,Gear,Argentina
55.0,Gear,Australia
44.0,Gear,Austria
433.0,Gear,Bangladesh
53.0,Gear,Bolivia
932.0,Gear,Brazil
42.0,Gear,Canada
30.0,Gear,Chile
8233.0,Gear,China
66.0,Gear,Colombia
277.0,Gear,Congo (Kinshasa)
29.0,Gear,Cote d'Ivoire
496.0,Gear,Egypt
244.0,Gear,France
30.0,Weapons,Greece
3123.0,Gear,India
1183.0,Gear,Indonesia
408.0,Gear,Iran
66.0,Gear,Iraq
1637.0,Gear,Japan
74.0,Gear,Kazakhstan
28.0,Gear,Kenya
28.0,Gear,Kuwait
160.0,Gear,Malaysia
53.0,Gear,Mali
544.0,Gear,Mexico
38.0,Gear,Mongolia
37.0,Weapons,Morocco
168.0,Gear,Nigeria
377.0,Gear,Pakistan
134.0,Gear,Peru
478.0,Gear,Philippines
20.0,Gear,Poland
332.0,Gear,Russia
103.0,Gear,Saudi Arabia
30.0,Weapons,Senegal
30.0,Gear,Senegal
525.0,Gear,South Korea
80.0,Gear,Sudan
89.0,Gear,Tanzania
247.0,Gear,Thailand
19.0,Gear,Togo
230.0,Gear,Turkey
319.0,Gear,United Kingdom
12599.0,Gear,United States
44.0,Gear,Uzbekistan
321.0,Gear,Vietnam
